,items,support,ordered_statistics
0,frozenset({'mineral water'}),0.23836821757099053,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'mineral water'}), confidence=0.23836821757099053, lift=1.0)]"
1,"frozenset({'eggs', 'burgers'})",0.02879616051193174,"[OrderedStatistic(items_base=frozenset({'burgers'}), items_add=frozenset({'eggs'}), confidence=0.33027522935779813, lift=1.8378297443715457)]"
2,"frozenset({'french fries', 'burgers'})",0.021997067057725635,"[OrderedStatistic(items_base=frozenset({'burgers'}), items_add=frozenset({'french fries'}), confidence=0.25229357798165136, lift=1.4761732671141707)]"
3,"frozenset({'green tea', 'burgers'})",0.0174643380882549,"[OrderedStatistic(items_base=frozenset({'burgers'}), items_add=frozenset({'green tea'}), confidence=0.2003058103975535, lift=1.5161391360161947)]"
4,"frozenset({'milk', 'burgers'})",0.01786428476203173,"[OrderedStatistic(items_base=frozenset({'burgers'}), items_add=frozenset({'milk'}), confidence=0.20489296636085627, lift=1.581175041844427)]"
5,"frozenset({'mineral water', 'burgers'})",0.024396747100386616,"[OrderedStatistic(items_base=frozenset({'burgers'}), items_add=frozenset({'mineral water'}), confidence=0.2798165137614679, lift=1.1738834841861134)]"
6,"frozenset({'spaghetti', 'burgers'})",0.021463804826023197,"[OrderedStatistic(items_base=frozenset({'burgers'}), items_add=frozenset({'spaghetti'}), confidence=0.24617737003058102, lift=1.4139176513012162)]"
7,"frozenset({'eggs', 'cake'})",0.019064124783362217,"[OrderedStatistic(items_base=frozenset({'cake'}), items_add=frozenset({'eggs'}), confidence=0.23519736842105263, lift=1.308765178431985)]"
8,"frozenset({'french fries', 'cake'})",0.01786428476203173,"[OrderedStatistic(items_base=frozenset({'cake'}), items_add=frozenset({'french fries'}), confidence=0.22039473684210528, lift=1.289532699729042)]"
9,"frozenset({'mineral water', 'cake'})",0.027463004932675644,"[OrderedStatistic(items_base=frozenset({'cake'}), items_add=frozenset({'mineral water'}), confidence=0.33881578947368424, lift=1.4213966649005065)]"
10,"frozenset({'spaghetti', 'cake'})",0.018130915877882948,"[OrderedStatistic(items_base=frozenset({'cake'}), items_add=frozenset({'spaghetti'}), confidence=0.2236842105263158, lift=1.2847283791408077)]"
11,"frozenset({'chicken', 'mineral water'})",0.022796960405279298,"[OrderedStatistic(items_base=frozenset({'chicken'}), items_add=frozenset({'mineral water'}), confidence=0.38000000000000006, lift=1.5941722595078303)]"
12,"frozenset({'chicken', 'spaghetti'})",0.01719770697240368,"[OrderedStatistic(items_base=frozenset({'chicken'}), items_add=frozenset({'spaghetti'}), confidence=0.2866666666666667, lift=1.6464675855028077)]"
13,"frozenset({'eggs', 'chocolate'})",0.03319557392347687,"[OrderedStatistic(items_base=frozenset({'chocolate'}), items_add=frozenset({'eggs'}), confidence=0.20260374288039054, lift=1.1273966434316094)]"
